document_id,building,relative_path,filename,extension,size_bytes,last_modified,has_text
Botanical_Place/WBF-PRP-ZZ-ZZ-RA-A01-9500--C01-For Construction.pdf,Botanical_Place,Botanical_Place/WBF-PRP-ZZ-ZZ-RA-A01-9500--C01-For Construction.pdf,WBF-PRP-ZZ-ZZ-RA-A01-9500--C01-For Construction.pdf,.pdf,97335,2025-12-03T02:11:00,True
Botanical_Place/Lignacite-Fair-Face-Datasheet.pdf,Botanical_Place,Botanical_Place/Lignacite-Fair-Face-Datasheet.pdf,Lignacite-Fair-Face-Datasheet.pdf,.pdf,1479504,2025-12-03T02:11:00,True
The_Whiteley/Flow cooling fans Service Manual FPX 63 to 156 inch copy 2.pdf,The_Whiteley,The_Whiteley/Flow cooling fans Service Manual FPX 63 to 156 inch copy 2.pdf,Flow cooling fans Service Manual FPX 63 to 156 inch copy 2.pdf,.pdf,960315,2025-12-03T02:18:00,True
The_Whiteley/Fire_alarm_panel_systems[1].pdf,The_Whiteley,The_Whiteley/Fire_alarm_panel_systems[1].pdf,Fire_alarm_panel_systems[1].pdf,.pdf,2889602,2025-12-03T02:18:00,True
The_Whiteley/AHU B1 02 Geniox 22 O&M.PDF,The_Whiteley,The_Whiteley/AHU B1 02 Geniox 22 O&M.PDF,AHU B1 02 Geniox 22 O&M.PDF,.pdf,7724695,2025-12-03T02:18:00,True
The_Whiteley/Chiller-User Manual (1) copy.pdf,The_Whiteley,The_Whiteley/Chiller-User Manual (1) copy.pdf,Chiller-User Manual (1) copy.pdf,.pdf,3616967,2025-12-03T02:18:00,True
The_Whiteley/Installation_Manual_-_Climaveneta_Units[1].pdf,The_Whiteley,The_Whiteley/Installation_Manual_-_Climaveneta_Units[1].pdf,Installation_Manual_-_Climaveneta_Units[1].pdf,.pdf,1382842,2025-12-03T02:18:00,True
The_Whiteley/Electric_Actuators_Type_EA15_Manual[1].pdf,The_Whiteley,The_Whiteley/Electric_Actuators_Type_EA15_Manual[1].pdf,Electric_Actuators_Type_EA15_Manual[1].pdf,.pdf,2840817,2025-12-03T02:18:00,True
The_Whiteley/AHU B1 02 Geniox 22 O&M copy.PDF,The_Whiteley,The_Whiteley/AHU B1 02 Geniox 22 O&M copy.PDF,AHU B1 02 Geniox 22 O&M copy.PDF,.pdf,7724695,2025-12-03T02:18:00,True
The_Whiteley/Armstrong 3750 Pulpress Pressurisation Unit O&M (1).pdf,The_Whiteley,The_Whiteley/Armstrong 3750 Pulpress Pressurisation Unit O&M (1).pdf,Armstrong 3750 Pulpress Pressurisation Unit O&M (1).pdf,.pdf,3794491,2025-12-03T02:18:00,True
The_Whiteley/Diaphragm_Valve_Hybrid_dry_cooler_Manual[1].pdf,The_Whiteley,The_Whiteley/Diaphragm_Valve_Hybrid_dry_cooler_Manual[1].pdf,Diaphragm_Valve_Hybrid_dry_cooler_Manual[1].pdf,.pdf,406034,2025-12-03T02:18:00,True
The_Whiteley/Flow cooling fans Service Manual FPX 63 to 156 inch.pdf,The_Whiteley,The_Whiteley/Flow cooling fans Service Manual FPX 63 to 156 inch.pdf,Flow cooling fans Service Manual FPX 63 to 156 inch.pdf,.pdf,960315,2025-12-03T02:18:00,True
The_Whiteley/Flow cooling fans Service Manual FPX 63 to 156 inch copy.pdf,The_Whiteley,The_Whiteley/Flow cooling fans Service Manual FPX 63 to 156 inch copy.pdf,Flow cooling fans Service Manual FPX 63 to 156 inch copy.pdf,.pdf,960315,2025-12-03T02:18:00,True
The_Whiteley/Fire_alarm_accessories[1].pdf,The_Whiteley,The_Whiteley/Fire_alarm_accessories[1].pdf,Fire_alarm_accessories[1].pdf,.pdf,4290275,2025-12-03T02:18:00,True
The_Whiteley/Main Chiller Compressor 1 to 6 O&M.pdf,The_Whiteley,The_Whiteley/Main Chiller Compressor 1 to 6 O&M.pdf,Main Chiller Compressor 1 to 6 O&M.pdf,.pdf,2832815,2025-12-03T02:18:00,True
The_Whiteley/Chiller O&M.pdf,The_Whiteley,The_Whiteley/Chiller O&M.pdf,Chiller O&M.pdf,.pdf,1382842,2025-12-03T02:18:00,True
The_Whiteley/Flow cooling fans Service Manual FPX 63 to 156 inch (1).pdf,The_Whiteley,The_Whiteley/Flow cooling fans Service Manual FPX 63 to 156 inch (1).pdf,Flow cooling fans Service Manual FPX 63 to 156 inch (1).pdf,.pdf,960315,2025-12-03T02:18:00,True
The_Whiteley/Chiller-User Manual (1).pdf,The_Whiteley,The_Whiteley/Chiller-User Manual (1).pdf,Chiller-User Manual (1).pdf,.pdf,3616967,2025-12-03T02:18:00,True
The_Whiteley/DosaFil-Duo_O&M_(2)[1].pdf,The_Whiteley,The_Whiteley/DosaFil-Duo_O&M_(2)[1].pdf,DosaFil-Duo_O&M_(2)[1].pdf,.pdf,1784876,2025-12-03T02:18:00,True
The_Whiteley/Main Chiller Compressor 1 to 6 O&M copy 2.pdf,The_Whiteley,The_Whiteley/Main Chiller Compressor 1 to 6 O&M copy 2.pdf,Main Chiller Compressor 1 to 6 O&M copy 2.pdf,.pdf,2832815,2025-12-03T02:18:00,True
The_Whiteley/Gas supply O&M.pdf,The_Whiteley,The_Whiteley/Gas supply O&M.pdf,Gas supply O&M.pdf,.pdf,86926,2025-12-03T02:18:00,True
The_Whiteley/Main Chiller Compressor 1 to 6 O&M copy 3.pdf,The_Whiteley,The_Whiteley/Main Chiller Compressor 1 to 6 O&M copy 3.pdf,Main Chiller Compressor 1 to 6 O&M copy 3.pdf,.pdf,2832815,2025-12-03T02:18:00,True
The_Whiteley/Main Chiller Compressor 1 to 6 O&M copy.pdf,The_Whiteley,The_Whiteley/Main Chiller Compressor 1 to 6 O&M copy.pdf,Main Chiller Compressor 1 to 6 O&M copy.pdf,.pdf,2832815,2025-12-03T02:18:00,True
The_Whiteley/Door_Types[1].pdf,The_Whiteley,The_Whiteley/Door_Types[1].pdf,Door_Types[1].pdf,.pdf,1239962,2025-12-03T02:18:00,True
